id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000-2002 Peoples R China>	weight<2010-2012 Peoples R China>	weight<2017-2019 Peoples R China>	weight<2000-2002 USA>	weight<2010-2012 USA>	weight<2017-2019 USA>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>	weight<Top10 2000-2002 Peoples R China>	weight<Top10 2010-2012 Peoples R China>	weight<Top10 2017-2019 Peoples R China>	weight<Top10 2000-2002 USA>	weight<Top10 2010-2012 USA>	weight<Top10 2017-2019 USA>	score<Top10 USA ratio for 2000~2002>	score<Top10 USA ratio for 2010~2012>	score<Top10 USA ratio for 2017~2019>	weight<Top1 2000-2002 Peoples R China>	weight<Top1 2010-2012 Peoples R China>	weight<Top1 2017-2019 Peoples R China>	weight<Top1 2000-2002 USA>	weight<Top1 2010-2012 USA>	weight<Top1 2017-2019 USA>	score<Top1 USA ratio for 2000~2002>	score<Top1 USA ratio for 2010~2012>	score<Top1 USA ratio for 2017~2019>
Agriculture, forestry, fisheries	-0.4646	0.3392	2	38	7.4091	1025	9011	23858	13853	16645	20301	0.931106331496169	0.648776114748987	0.459725084354265	10	150	1310	3401	1805	1995	2159	0.923273657289003	0.603630862329803	0.388309352517986	16	117	331	232	230	257	0.935483870967742	0.662824207492795	0.437074829931973
Animal and dairy science	-0.5572	0.652	2	38	4.7358	144	1383	3787	3390	3513	4652	0.959252971137521	0.717524509803922	0.551250148121815	10	9	130	469	554	620	693	0.984014209591474	0.826666666666667	0.596385542168675		13	60	61	74	87	1	0.850574712643678	0.591836734693878
Art	0.9984	-0.0545	1	38	4.996	42	188	602	4073	4614	5102	0.989793438639125	0.960849645980841	0.894460028050491	10	6	35	71	1058	604	449	0.994360902255639	0.945226917057903	0.863461538461539		2	8	109	51	30	1	0.962264150943396	0.789473684210526
Basic medical research	-0.1657	0.4083	5	38	13.1075	4533	38377	118773	113259	143218	155266	0.961516911165444	0.788667088851565	0.566583588467335	10	328	3316	12871	17006	22205	22986	0.981077650859582	0.87006778731241	0.641046378670831	17	239	1084	1998	2783	2937	0.991563275434243	0.920913302448709	0.730415319572246
Biological sciences	-0.4234	0.4327	2	38	13.5758	9875	64146	150876	153019	189621	199598	0.939377754858988	0.747224816465498	0.569508722472994	10	653	5952	17936	22257	28736	29402	0.971497162810999	0.828413284132841	0.621107778106384	64	546	1819	2447	3546	4048	0.974512146555157	0.866568914956012	0.68996079768195
Chemical engineering	-0.9666	-0.1823	3	38	9.1273	2316	14171	42965	8075	9497	14715	0.777114810894043	0.401259083995268	0.255114424410541	10	225	1815	7213	1113	1462	1806	0.831838565022422	0.446139761977418	0.200243929482204	21	182	834	126	210	211	0.857142857142857	0.535714285714286	0.201913875598086
Chemical sciences	-1.0167	-0.0718	4	38	10.9765	28317	118948	258618	66320	90944	108154	0.700782991853081	0.433289501267318	0.294880743350092	10	2035	14360	39704	11631	15537	15608	0.851090297087663	0.519684249255778	0.282181081862887	196	1504	4486	1492	1923	1831	0.883886255924171	0.56113218558506	0.289852778217508
Civil engineering	-0.412	-0.4054	3	38	6.4865	1206	5193	26552	6743	11077	16917	0.848282802868285	0.680823601720959	0.38917389403943	10	152	653	3352	735	1092	1674	0.828635851183766	0.625787965616046	0.333068046159968	9	52	363	75	119	184	0.892857142857143	0.695906432748538	0.336380255941499
Clinical medicine	-0.0177	0.4413	5	38	9.6697	7514	49870	138657	187124	265571	323153	0.961394999948623	0.841903874258578	0.699753145232888	10	589	4096	12908	28685	42441	50546	0.979879756780761	0.911984012721061	0.79657704794024	48	322	1269	3303	5311	6791	0.985675917636526	0.942836854251731	0.842555831265509
Computer and information sciences	-0.1604	-0.4044	6	38	7.4427	3438	19274	73519	25356	29237	38362	0.880600125026047	0.60268805013296	0.342882169447896	10	352	2356	10025	4030	4362	5431	0.919671382930169	0.649300387019946	0.351384575569358	35	267	1285	571	643	739	0.942244224422442	0.706593406593407	0.365118577075099
Earth and related environmental sciences	-0.3721	-0.0736	3	38	8.2474	5617	32936	117753	43336	64303	94480	0.885257287602394	0.661288166270735	0.445171109111213	10	673	4573	16517	6272	10063	13113	0.903095752339813	0.687551243509156	0.442558218022275	103	463	1832	731	1201	1486	0.876498800959233	0.721754807692308	0.447860156720916
Economics and business	0.7358	-0.2208	1	38	6.6885	1674	8684	19987	24574	38488	45463	0.936223712282841	0.815907741880777	0.694621848739496	10	248	1132	2899	4304	6006	5687	0.945518453427065	0.841412160268983	0.662357325879339	22	121	344	544	782	677	0.96113074204947	0.866002214839424	0.66307541625857
Educational sciences	0.7825	0.058	1	38	4.8527	237	985	3118	10699	16013	21454	0.978328456474031	0.942052006118367	0.873107602148787	10	23	112	391	1164	2082	2361	0.980623420387532	0.948951686417502	0.857921511627907	1	10	38	116	233	265	0.991452991452991	0.958847736625514	0.874587458745875
