id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000~2002 Peoples R China count>	weight<2010~2012 Peoples R China count>	weight<2017~2019 Peoples R China count>	weight<2000~2002 USA count>	weight<2010~2012 USA count>	weight<2017~2019 USA count>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
Acoustics	-0.4346	-0.1712	6	253	34.7937	452	1391	4831	2854	3405	3349	0.863278886872353	0.709966638865721	0.409413202933985	10
Agricultural Economics & Policy	0.5142	-0.3951	1	253	36.3322	8	124	308	634	899	1133	0.987538940809969	0.878787878787879	0.786259541984733	10
Agricultural Engineering	-0.674	0.0629	4	253	37.5391	67	1781	4410	1194	2138	1806	0.946867565424266	0.545547333503445	0.290540540540541	10
Agriculture, Dairy & Animal Science	-0.3478	0.4839	7	253	18.6062	144	1383	3787	3390	3513	4652	0.959252971137521	0.717524509803922	0.551250148121815	10
Agriculture, Multidisciplinary	-0.4461	0.2165	4	253	41.9982	156	2474	5595	1485	2209	2519	0.904936014625229	0.471706171257741	0.310451072220853	10
Agronomy	-0.5579	0.2577	4	253	28.5102	397	2532	6314	4258	4602	6162	0.914715359828142	0.645079899074853	0.493908303943572	10
Allergy	0.0935	0.7321	2	253	33.7305	30	171	481	1621	2057	2806	0.98182919442762	0.923249551166966	0.853665956799513	10
Anatomy & Morphology	-0.0538	0.4957	2	253	61.3917	34	420	592	1146	1567	1562	0.971186440677966	0.788626069451434	0.725162488393686	10
Andrology	-0.037	0.6948	2	253	43.358	63	224	412	290	301	490	0.821529745042493	0.573333333333333	0.543237250554324	10
Anesthesiology	0.3064	0.7068	2	253	24.4279	124	376	953	2951	3659	4517	0.959674796747968	0.906815365551425	0.825776965265082	10
Anthropology	0.5369	-0.1205	1	253	35.5728	90	202	375	2727	3663	4003	0.968051118210863	0.947736093143596	0.914344449520329	10
Archaeology	0.3578	-0.2665	1	253	19.9436	14	93	317	1129	1635	2531	0.987751531058618	0.946180555555556	0.888693820224719	10
Architecture	0.4591	-0.381	1	253	25.8696	7	72	299	630	654	845	0.989010989010989	0.900826446280992	0.738636363636364	10
Area Studies	0.9797	-0.4165	1	253	33.2527	84	317	584	1367	1755	1968	0.9421088904204	0.847007722007722	0.771159874608151	10
Art	0.9141	-0.402	1	253	13.8086	19	64	197	1253	1453	1569	0.985062893081761	0.957811470006592	0.888448471121178	10
Asian Studies	1.0504	-0.4079	1	253	20.6794	65	280	461	642	954	1029	0.908062234794908	0.773095623987034	0.690604026845638	10
Astronomy & Astrophysics	-0.8889	-0.4213	3	253	8.719	1943	4709	9359	18341	23883	26717	0.904210214947742	0.835303581421377	0.740575451823927	10
Audiology & Speech-Language Pathology	0.1177	0.0465	5	253	30.1581	112	274	675	2616	3469	4135	0.958944281524927	0.926796687149345	0.85966735966736	10
Automation & Control Systems	-0.5865	-0.6057	6	253	34.8438	703	4694	17065	2816	3265	5274	0.800227337311736	0.41022741550446	0.236089350463315	10
Behavioral Sciences	0.1672	0.3115	5	253	57.7596	47	518	1486	4604	7214	8291	0.989894646312621	0.933005690636316	0.848010637209778	10
Biochemical Research Methods	-0.4909	0.3776	7	253	64.6547	934	6117	9136	9217	15858	14095	0.907989360654123	0.721638225255973	0.606732383453145	10
Biochemistry & Molecular Biology	-0.4	0.5229	7	253	65.5863	4213	21613	44590	57265	53821	45066	0.931471420670809	0.71348463557547	0.5026545908807	10
Biodiversity Conservation	-0.3794	0.1173	4	253	42.1708	53	545	2166	2915	4844	6762	0.982142857142857	0.898868064575988	0.75739247311828	10
Biology	-0.2632	0.3148	4	253	86.0104	444	2249	6213	6463	8813	13499	0.935717388156942	0.796691375881396	0.684811282467532	10
Biophysics	-0.4353	0.4518	7	253	68.7041	1778	4908	9497	10322	11180	9231	0.853057851239669	0.694927896568871	0.49289833404528	10
Biotechnology & Applied Microbiology	-0.4615	0.4131	7	253	63.6057	984	12059	27189	11974	17422	16129	0.924062355301744	0.590956887486856	0.372339443187589	10
Business	0.6247	-0.4251	1	253	26.2041	193	846	2822	4382	6622	8277	0.957814207650273	0.886716657739689	0.745742859717092	10
Business, Finance	0.6648	-0.5258	1	253	23.7161	124	635	2066	2816	5043	5873	0.957823129251701	0.888164846777034	0.73976571356594	10
Cardiac & Cardiovascular Systems	0.2392	0.7888	2	253	29.2153	316	2492	5554	14415	19557	23638	0.978548638924716	0.886979001315252	0.809742395176761	10
Cell & Tissue Engineering	-0.1998	0.5322	2	253	73.4916	7	600	2823	407	2439	3125	0.983091787439614	0.802566633761106	0.525386684599866	10
Cell Biology	-0.2868	0.5761	7	253	66.8067	818	8303	31896	25538	28748	31262	0.968963423888299	0.775903484386386	0.494980841698597	10
Chemistry, Analytical	-0.768	0.1386	3	253	35.8608	3811	13560	30306	9055	11213	11871	0.703792942639515	0.452629879304081	0.281456718116509	10
Chemistry, Applied	-0.8333	0.142	3	253	57.7543	1305	8478	20029	3669	4578	4888	0.737635705669481	0.350643382352941	0.196171288678412	10
Chemistry, Inorganic & Nuclear	-1.0621	8e-04	3	253	29.8784	2767	9599	12239	5436	5191	4802	0.662684383762038	0.350980392156863	0.281790974708057	10
Chemistry, Medicinal	-0.4886	0.4818	7	253	56.629	588	6889	11550	4669	9335	7937	0.88814913448735	0.575382149901381	0.407297172473957	10
Chemistry, Multidisciplinary	-0.9511	0.0486	3	253	48.7033	8679	33130	80117	15635	28391	38521	0.643045159167558	0.46148469628257	0.324693605758695	10
Chemistry, Organic	-0.9836	0.1462	3	253	25.2335	2557	10429	17944	10462	10553	7524	0.803594746140256	0.502954913735583	0.29542955866185	10
Chemistry, Physical	-1.0513	-0.1151	3	253	48.7298	6349	33800	78729	20075	32984	38761	0.759726006660612	0.493890752275994	0.32990892841944	10
Classics	1.1383	-0.4354	1	253	5.5074	0	2	20	633	584	667	1	0.996587030716723	0.970887918486172	10
Clinical Neurology	0.3358	0.5833	2	253	44.0681	345	3334	9458	15691	25669	33093	0.978485906709903	0.885046374512981	0.777725552865973	10
Communication	0.8746	-0.2682	1	253	26.1797	44	249	621	2210	3958	5797	0.980479148181012	0.94081293082957	0.903240885010907	10
Computer Science, Artificial Intelligence	-0.3486	-0.5131	6	253	37.0828	794	6185	19074	4973	5122	6787	0.862320097104214	0.452993720703989	0.262441514249256	10
Computer Science, Cybernetics	-0.1433	-0.4214	6	253	52.6664	126	578	1861	687	853	963	0.845018450184502	0.596086652690426	0.34100566572238	10
