id	label	sublabel	description	x	y	cluster	weight<total count>	score<average pub year>	weight<2010~2012 Peoples R China count>	weight<2010~2012 USA count>	weight<2017~2019 Peoples R China count>	weight<2017~2019 USA count>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
0	0	inositol; calmodulin; sarcoplasmic reticulum; trisphosphate receptor; nitrotyrosine	<table><tr><td>Micro-level field:</td><td>0</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>american journal of physiology-heart and circulatory physiology; journal of biological chemistry; journal of physiology-london; european journal of pharmacology; british journal of pharmacology</td></tr><tr><td>Terms:</td><td>inositol; calmodulin; sarcoplasmic reticulum; trisphosphate receptor; nitrotyrosine</td></tr></table>	-0.7941	-0.1434	2	59354	2004.8189	303	1501	133	515	0.832039911308204	0.794753086419753	10
1	1	monazite; rodinia; type granite; gold mineralization; zircon u pb	<table><tr><td>Micro-level field:</td><td>1</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>acta petrologica sinica; precambrian research; lithos; ore geology reviews; gondwana research</td></tr><tr><td>Terms:</td><td>monazite; rodinia; type granite; gold mineralization; zircon u pb</td></tr></table>	0.3896	-0.1234	4	51798	2011.1375	1834	1055	4046	1225	0.365178262374524	0.232403718459495	10
2	2	stereoselective total synthesis; samarium diiodide; discodermolide; glycosidase inhibitor; asymmetric dihydroxylation	<table><tr><td>Micro-level field:</td><td>2</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>tetrahedron letters; journal of organic chemistry; organic letters; tetrahedron; synlett</td></tr><tr><td>Terms:</td><td>stereoselective total synthesis; samarium diiodide; discodermolide; glycosidase inhibitor; asymmetric dihydroxylation</td></tr></table>	0.0174	-0.7186	3	49053	2006.6755	538	947	291	402	0.637710437710438	0.58008658008658	10
3	3	neutralizing antibody; gag; immunogenicity; t cell response; vaccine	<table><tr><td>Micro-level field:</td><td>3</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of virology; aids; aids research and human retroviruses; plos one; jaids-journal of acquired immune deficiency syndromes</td></tr><tr><td>Terms:</td><td>neutralizing antibody; gag; immunogenicity; t cell response; vaccine</td></tr></table>	-0.7155	-0.2076	2	44319	2008.5941	411	3163	475	2113	0.88500279798545	0.816460587326121	10
4	4	poly; carbon nanotube field effect transistor; carbon nanotube growth; electrical property; field emission	<table><tr><td>Micro-level field:</td><td>4</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>carbon; applied physics letters; physical review b; nanotechnology; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>poly; carbon nanotube field effect transistor; carbon nanotube growth; electrical property; field emission</td></tr></table>	0.6618	-0.4998	3	43900	2009.665	1508	1634	783	653	0.520050922978994	0.454735376044568	10
5	5	organic aerosol; isoprene; new particle formation; secondary organic aerosol formation; source apportionment	<table><tr><td>Micro-level field:</td><td>5</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>atmospheric environment; atmospheric chemistry and physics; journal of geophysical research-atmospheres; environmental science & technology; science of the total environment</td></tr><tr><td>Terms:</td><td>organic aerosol; isoprene; new particle formation; secondary organic aerosol formation; source apportionment</td></tr></table>	0.3134	-0.008	4	43075	2011.3579	1023	2233	3073	2742	0.685810810810811	0.471539122957868	10
6	6	graphene oxide; bilayer graphene; epitaxial graphene; graphene field effect transistor	<table><tr><td>Micro-level field:</td><td>6</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; applied physics letters; carbon; nano letters; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>graphene oxide; bilayer graphene; epitaxial graphene; graphene field effect transistor</td></tr></table>	0.6773	-0.5092	3	42834	2014.5088	2086	2375	2900	1504	0.53239184039453	0.341507720254314	10
7	7	metal organic framework; mof; mil; coordination polymer; zif	<table><tr><td>Micro-level field:</td><td>7</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>crystengcomm; crystal growth & design; inorganic chemistry; inorganic chemistry communications; chemical communications</td></tr><tr><td>Terms:</td><td>metal organic framework; mof; mil; coordination polymer; zif</td></tr></table>	0.3382	-0.6328	3	42786	2013.4358	4166	885	5627	1508	0.175212829142744	0.21135248773651	10
8	8	organic thin film transistor; polymer solar cells; open circuit voltage; photovoltaic performance	<table><tr><td>Micro-level field:</td><td>8</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organic electronics; applied physics letters; acs applied materials & interfaces; advanced materials; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>organic thin film transistor; polymer solar cells; open circuit voltage; photovoltaic performance</td></tr></table>	0.5269	-0.5983	3	41730	2013.3393	1328	1734	3694	1482	0.56629653821032	0.286321483771252	10
9	9	aminolysis; solvolysis; gas phase electron diffraction; vibrational assignment; ft raman spectra	<table><tr><td>Micro-level field:</td><td>9</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of physical chemistry a; journal of chemical physics; journal of molecular structure-theochem; journal of molecular structure; chemical physics letters</td></tr><tr><td>Terms:</td><td>aminolysis; solvolysis; gas phase electron diffraction; vibrational assignment; ft raman spectra</td></tr></table>	0.3238	-0.6418	3	41723	2008.3758	680	1298	422	968	0.656218402426694	0.696402877697842	10
